Price,Open,High,Low,Vol,Change %
18526.14000,18527.71000,18536.89000,18474.77000,67.57400,-0.00060
18538.12000,18493.40000,18551.54000,18450.32000,83.71200,0.00250
18491.96000,18466.01000,18544.76000,18439.10000,74.35600,0.00390
18419.30000,18396.57000,18430.05000,18295.48000,74.78000,0.00100
18400.88000,18436.70000,18439.68000,18333.56000,98.25800,-0.00290
18454.30000,18491.28000,18514.29000,18408.52000,68.92000,-0.00260
18502.99000,18421.29000,18523.09000,18419.92000,64.48900,0.00580
18395.40000,18467.92000,18572.09000,18335.34000,78.73000,-0.00290
18448.41000,18471.21000,18497.68000,18431.46000,64.48100,-0.00180
18481.48000,18537.50000,18539.15000,18448.27000,72.27800,-0.00350
18547.30000,18568.94000,18631.60000,18545.52000,73.99000,0.00100
18529.42000,18535.86000,18570.92000,18466.86000,73.45200,-0.00120
18552.57000,18585.17000,18585.17000,18491.24000,93.17700,-0.00240
18597.70000,18566.54000,18600.82000,18533.29000,70.74000,0.00130
18573.94000,18537.09000,18582.35000,18468.68000,71.00400,0.00120
18552.02000,18614.48000,18614.86000,18550.65000,67.57200,-0.00450
18636.05000,18588.59000,18668.44000,18588.59000,62.35500,0.00320
18576.47000,18595.65000,18606.06000,18535.86000,61.58700,-0.00200
18613.52000,18519.08000,18638.34000,18519.08000,71.47200,0.00640
18495.66000,18541.48000,18561.75000,18468.78000,62.78600,-0.00200
18533.05000,18538.05000,18585.32000,18507.75000,60.09500,0.00020
18529.29000,18540.65000,18569.31000,18502.03000,71.81900,-0.00080
18543.53000,18402.80000,18543.53000,18402.80000,92.42300,0.01040
18352.05000,18351.43000,18397.87000,18325.17000,64.50500,-0.00020
18355.00000,18313.08000,18355.00000,18283.23000,78.55000,0.00230
18313.77000,18401.15000,18403.65000,18247.79000,89.68700,-0.00490
18404.51000,18434.50000,18467.03000,18355.75000,83.47100,-0.00150
18432.24000,18442.52000,18466.55000,18371.12000,111.55400,-0.00130
18456.35000,18461.01000,18483.26000,18368.82000,85.75500,-0.00090
18472.17000,18473.27000,18542.39000,18430.94000,111.37700,-0.00010
18473.75000,18497.37000,18522.47000,18387.22000,85.37500,-0.00100
18493.06000,18554.49000,18555.69000,18452.62000,76.81600,-0.00420
18570.85000,18524.15000,18571.30000,18491.59000,87.71500,0.00290
18517.23000,18589.96000,18590.44000,18469.67000,86.80300,-0.00420
18595.03000,18582.70000,18622.01000,18555.65000,93.23300,0.00190
18559.01000,18503.12000,18562.53000,18495.11000,85.84100,0.00140
18533.05000,18521.55000,18556.13000,18489.84000,75.54500,0.00090
18516.55000,18508.88000,18557.43000,18471.62000,123.69500,0.00050
18506.41000,18414.30000,18537.57000,18414.30000,87.05100,0.00730
18372.12000,18356.78000,18390.16000,18315.76000,80.92200,0.00130
18347.67000,18259.12000,18371.95000,18259.12000,90.21700,0.00660
18226.93000,18161.53000,18283.90000,18161.53000,80.88300,0.00440
18146.74000,17971.22000,18166.77000,17971.22000,93.46400,0.01400
17895.88000,17924.24000,17984.95000,17816.65000,81.57800,-0.00130
17918.62000,17807.47000,17926.91000,17713.45000,93.00200,0.00440
17840.62000,17904.45000,17904.45000,17785.28000,103.67200,-0.00610
17949.37000,17924.24000,18002.38000,17916.91000,82.16700,0.00110
17929.99000,17712.76000,17930.61000,17711.80000,133.03900,0.01330
17694.68000,17456.02000,17704.51000,17456.02000,106.38800,0.01640
17409.72000,17190.51000,17409.72000,17190.51000,112.19200,0.01570
17140.24000,17355.21000,17355.21000,17063.08000,138.74400,-0.01500
17400.75000,17946.63000,17946.63000,17356.34000,239.00500,-0.03390
18011.07000,17844.11000,18011.07000,17844.11000,98.11700,0.01290
17780.83000,17832.67000,17920.16000,17770.36000,89.44300,-0.00270
17829.73000,17827.33000,17877.84000,17799.80000,85.14300,0.00140
17804.87000,17736.87000,17946.36000,17736.87000,99.38700,0.00730
17675.16000,17733.44000,17733.44000,17602.78000,248.68600,-0.00330
17733.10000,17602.23000,17754.91000,17471.29000,91.95000,0.00530
17640.17000,17703.65000,17762.96000,17629.01000,94.13700,-0.00200
17674.82000,17710.77000,17733.92000,17595.79000,93.74200,-0.00330
17732.48000,17830.50000,17893.28000,17731.35000,101.69800,-0.00740
17865.34000,17938.82000,17938.82000,17812.34000,90.54400,-0.00670
17985.19000,17969.98000,18005.22000,17915.88000,69.69900,-0.00110
18005.05000,17931.91000,18016.00000,17931.91000,71.26500,0.00370
17938.28000,17936.22000,18003.23000,17936.22000,78.75800,0.00100
17920.33000,17825.69000,17949.68000,17822.81000,71.87300,0.00640
17807.06000,17799.80000,17833.17000,17689.68000,82.28600,-0.00180
17838.56000,17789.05000,17838.56000,17703.55000,75.56600,0.00270
17789.67000,17754.55000,17809.18000,17664.79000,78.53700,0.00010
17787.20000,17891.50000,17899.24000,17724.03000,147.39000,-0.00480
17873.22000,17826.85000,17873.22000,17824.73000,73.19200,0.00250
17828.29000,17859.52000,17888.66000,17803.82000,68.94900,-0.00130
17851.51000,17735.09000,17891.71000,17735.09000,79.18100,0.00820
17706.05000,17525.19000,17742.59000,17525.19000,86.48500,0.01220
17492.93000,17507.04000,17550.70000,17480.05000,87.79300,-0.00050
17500.94000,17437.32000,17571.75000,17437.32000,112.00400,0.00380
17435.40000,17514.16000,17514.16000,17331.07000,95.53000,-0.00520
17526.62000,17501.28000,17636.22000,17418.21000,79.12200,-0.00020
17529.98000,17701.46000,17701.46000,17469.92000,103.26800,-0.01020
17710.71000,17531.76000,17755.80000,17531.76000,88.44100,0.01000
17535.32000,17711.12000,17734.74000,17512.48000,86.65200,-0.01050
17720.50000,17722.01000,17798.19000,17625.38000,88.56000,0.00050
17711.12000,17919.03000,17919.03000,17711.05000,87.39200,-0.01210
17928.35000,17726.66000,17934.61000,17726.66000,75.79500,0.01260
17705.91000,17743.85000,17783.16000,17668.38000,85.59100,-0.00200
17740.63000,17650.30000,17744.54000,17580.38000,80.02300,0.00450
17660.71000,17664.48000,17736.11000,17615.82000,81.53100,0.00050
17651.26000,17735.02000,17738.06000,17609.01000,95.02600,-0.00560
17750.91000,17870.75000,17870.75000,17670.88000,97.06100,-0.00780
17891.16000,17783.78000,17912.35000,17773.71000,80.10600,0.00660
17773.64000,17813.09000,17814.83000,17651.98000,136.67400,-0.00320
17830.76000,18023.88000,18035.73000,17796.55000,100.92600,-0.01170
18041.55000,17996.14000,18084.66000,17920.26000,109.09500,0.00280
17990.32000,17987.38000,18043.77000,17934.17000,92.57200,0.00070
17977.24000,17990.94000,17990.94000,17855.55000,83.77400,-0.00150
18003.75000,17985.05000,18026.85000,17909.89000,134.12500,0.00120
17982.52000,18092.84000,18107.29000,17963.89000,102.72200,-0.00630
18096.27000,18059.49000,18167.63000,18031.21000,100.21700,0.00240
18053.60000,18012.10000,18103.46000,17984.43000,89.82000,0.00270
18004.16000,17890.20000,18009.53000,17848.22000,89.39600,0.00600
17897.46000,17925.95000,17937.65000,17867.41000,118.16600,-0.00160
17926.43000,17912.25000,17962.14000,17885.44000,84.51300,0.00100
17908.28000,17741.66000,17918.35000,17741.66000,91.71800,0.01060
17721.25000,17571.34000,17744.43000,17553.57000,81.02500,0.00940
17556.41000,17586.48000,17731.63000,17555.90000,107.10100,-0.00120
17576.96000,17555.39000,17694.51000,17528.16000,79.99600,0.00200
17541.96000,17687.28000,17687.28000,17484.23000,90.12600,-0.00980
17716.05000,17605.45000,17723.55000,17542.54000,99.41500,0.00640
17603.32000,17718.03000,17718.03000,17579.56000,115.23200,-0.00750
17737.00000,17799.39000,17806.38000,17710.67000,85.23000,-0.00310
17792.75000,17661.74000,17811.48000,17568.02000,104.89500,0.00610
17685.09000,17716.05000,17755.70000,17669.72000,102.60900,-0.00180
17716.66000,17652.36000,17790.11000,17652.36000,79.33600,0.00470
17633.11000,17512.58000,17642.81000,17434.27000,86.16100,0.00560
17535.39000,17526.08000,17583.81000,17493.03000,70.46900,0.00110
17515.73000,17485.33000,17517.14000,17399.01000,84.10300,0.00080
